2020-02-15,-19,-6,,-25,-5,
2020-02-16,2,-1,,-18,-2,
2020-02-17,-2,9,,6,2,0
2020-02-18,-3,6,,9,2,0
2020-02-19,-2,2,,5,1,1
2020-02-20,0,3,,2,1,1
2020-02-21,-13,4,,-10,-1,2
2020-02-22,-6,3,,-16,1,
2020-02-23,1,-2,,12,4,
2020-02-24,-4,8,,3,1,1
2020-02-25,3,8,,11,2,0
2020-02-26,2,1,,7,2,1
2020-02-27,3,4,,1,3,0
2020-02-28,0,2,,7,0,1
2020-02-29,4,2,,-3,4,
2020-03-01,6,-2,,-5,6,
2020-03-02,12,10,,14,2,0
2020-03-03,9,5,,10,1,-1
2020-03-04,16,11,,7,0,-1
2020-03-05,8,5,,4,1,0
2020-03-06,7,5,,8,-1,0
2020-03-07,4,-2,,5,2,
2020-03-08,13,-2,,15,-2,
2020-03-09,3,11,,10,-1,0
2020-03-10,0,6,,3,-1,1
2020-03-11,0,5,,1,0,1
2020-03-12,-2,9,,-8,0,1
2020-03-13,3,14,,7,-3,1
2020-03-14,1,5,,-7,0,
2020-03-15,12,9,,10,-4,
2020-03-16,1,12,,2,-9,4
2020-03-17,-11,17,,-12,-13,6
2020-03-18,-10,22,,-21,-20,8
2020-03-19,-9,20,,-16,-22,8
2020-03-20,-15,10,,-17,-24,9
2020-03-21,-41,10,,-24,-22,
2020-03-22,-39,-11,,-13,-26,
2020-03-23,-46,-8,,-34,-43,15
2020-03-24,-76,-25,,-58,-59,
2020-03-25,-77,-28,,-62,-64,
2020-03-26,-80,-28,,-65,-66,
2020-03-27,-78,-23,,-65,-67,
2020-03-28,-86,-33,,-62,-56,
2020-03-29,-83,-37,,-58,-52,
2020-03-30,-78,-24,,-59,-70,
2020-03-31,-76,-22,,-60,-70,
2020-04-01,-74,-27,,-65,-71,
2020-04-02,-77,-27,-46,-67,-70,
2020-04-03,-80,-23,,-67,-70,
2020-04-04,-84,-27,,-64,-54,
2020-04-05,-79,-32,,-60,-51,
2020-04-06,-72,-22,,-59,-69,
2020-04-07,-76,-24,,-59,-71,
2020-04-08,-77,-26,,-63,-71,
2020-04-09,-75,-19,-49,-67,-70,
2020-04-10,-76,-27,,-66,-74,
2020-04-11,-81,-22,,-57,-55,
2020-04-12,,-29,,-43,-51,
2020-04-13,-77,-37,,-64,-78,
2020-04-14,-72,-22,,-56,-71,
2020-04-15,-71,-25,,-59,-70,
2020-04-16,-75,-25,,-59,-69,
2020-04-17,-73,-21,,-63,-69,
2020-04-18,-80,-20,,-56,-52,
2020-04-19,,-22,,-48,-46,
2020-04-20,-70,-25,,-52,-67,
2020-04-21,-72,-23,,-51,-68,
2020-04-22,-69,-24,,-56,-67,
2020-04-23,-69,-19,,-55,-66,
2020-04-24,-71,-19,,-57,-67,
2020-04-25,-76,-16,,-53,-51,
2020-04-26,,-22,,-47,-44,
2020-04-27,-66,-22,,-48,-66,
2020-04-28,-68,-22,,-50,-67,
2020-04-29,-74,-23,,-57,-66,
2020-04-30,-72,-20,,-58,-65,
2020-05-01,-73,-16,,-56,-67,
2020-05-02,-77,-14,,-52,-50,
2020-05-03,,-21,,-37,-41,
2020-05-04,-69,-24,,-53,-69,
2020-05-05,-69,-16,,-44,-66,
2020-05-06,-70,-16,,-45,-65,
2020-05-07,-67,-17,,-56,-65,
2020-05-08,-71,-17,,-56,-69,
2020-05-09,-75,-13,,-49,-44,
2020-05-10,,-19,,-51,-41,
2020-05-11,-66,-14,,-46,-64,
2020-05-12,-68,-14,,-47,-64,
