2020-02-15,-14,-5,-43,-16,-3,3
2020-02-16,-5,-6,-34,-14,1,
2020-02-17,13,0,,-10,-15,2
2020-02-18,15,0,,-17,-14,3
2020-02-19,2,-5,-19,-18,-14,3
2020-02-20,9,0,15,-12,-12,3
2020-02-21,-1,-2,-12,-10,-12,4
2020-02-22,-6,0,-1,-7,1,0
2020-02-23,0,-3,7,-1,4,
2020-02-24,0,4,-6,-7,2,0
2020-02-25,2,4,,2,3,0
2020-02-26,1,-3,9,-2,2,0
2020-02-27,5,0,15,5,2,0
2020-02-28,0,0,-15,-3,1,1
2020-02-29,-7,-1,-31,-14,-4,2
2020-03-01,4,-3,-17,-8,1,
2020-03-02,7,4,6,1,3,0
2020-03-03,12,2,,6,2,-1
2020-03-04,11,3,21,-4,1,0
2020-03-05,10,2,23,-4,1,0
2020-03-06,5,4,23,0,2,0
2020-03-07,1,4,0,-2,1,1
2020-03-08,10,3,8,-7,2,
2020-03-09,0,4,-15,-6,1,1
2020-03-10,6,5,,6,2,1
2020-03-11,1,7,-6,-10,0,1
2020-03-12,3,27,-4,-12,1,2
2020-03-13,-2,17,20,-7,0,3
2020-03-14,-13,10,-14,-26,-4,5
2020-03-15,-5,14,44,-11,-3,
2020-03-16,10,29,,-24,-23,8
2020-03-17,-15,6,,-30,-57,19
2020-03-18,-23,9,32,-25,-24,12
2020-03-19,-20,9,,-21,-25,12
2020-03-20,-27,7,,-21,-25,14
2020-03-21,-47,11,27,-32,-26,
2020-03-22,-58,-8,26,-14,-33,
2020-03-23,-44,-6,-12,-42,-38,16
2020-03-24,-65,-16,-27,-49,-52,22
2020-03-25,-73,-20,-30,-53,-59,25
2020-03-26,-73,-24,-17,-49,-62,27
2020-03-27,-76,-26,-38,-55,-63,29
2020-03-28,-80,-28,-52,-54,-55,
2020-03-29,-87,-45,-65,-55,-52,
2020-03-30,-76,-31,-46,-56,-67,27
2020-03-31,-73,-29,-40,-55,-69,28
2020-04-01,-74,-28,-42,-60,-69,29
2020-04-02,-74,-30,-46,-58,-70,30
2020-04-03,-75,-26,-40,-60,-68,30
2020-04-04,-81,-29,-61,-56,-54,
2020-04-05,-86,-41,-71,-61,-53,
2020-04-06,-69,-25,-33,-50,-66,26
2020-04-07,-69,-22,-22,-44,-67,27
2020-04-08,-70,-22,-32,-47,-67,27
2020-04-09,-67,-18,-37,-53,-67,28
2020-04-10,-73,-18,-45,-52,-70,30
2020-04-11,-77,-19,-64,-46,-53,
2020-04-12,-93,-66,-79,-62,-57,
2020-04-13,-80,-42,-44,-60,-83,
2020-04-14,-73,-27,-24,-53,-76,29
2020-04-15,-68,-20,-36,-47,-68,28
2020-04-16,-69,-24,-35,-47,-68,28
2020-04-17,-71,-21,-40,-49,-67,30
2020-04-18,-78,-28,-64,-54,-49,
2020-04-19,-85,-39,-68,-49,-48,
2020-04-20,-64,-22,-33,-47,-63,25
2020-04-21,-66,-21,-24,-43,-63,26
2020-04-22,-68,-23,-29,-47,-63,26
2020-04-23,-68,-20,-32,-44,-63,26
2020-04-24,-69,-19,-29,-46,-63,27
2020-04-25,-76,-21,-50,-45,-46,
2020-04-26,-83,-33,-65,-55,-46,
2020-04-27,-62,-21,-20,-44,-61,23
2020-04-28,-63,-19,-26,-47,-62,23
2020-04-29,-67,-20,-50,-56,-63,27
2020-04-30,-67,-19,-40,-52,-62,27
2020-05-01,-68,-19,-39,-52,-60,28
2020-05-02,-74,-21,-46,-42,-43,
2020-05-03,-78,-30,-54,-39,-41,
2020-05-04,-59,-17,-16,-37,-61,24
2020-05-05,-60,-17,-12,-41,-59,23
2020-05-06,-61,-15,-7,-42,-58,24
