2020-02-15,3,0,-3,5,-1,1
2020-02-16,-7,-6,-25,-4,-3,2
2020-02-17,-3,-1,0,-1,1,1
2020-02-18,0,0,9,-1,2,0
2020-02-19,2,1,22,-1,2,0
2020-02-20,1,0,-1,-1,1,0
2020-02-21,5,2,17,3,1,0
2020-02-22,-2,-3,-21,-2,-4,1
2020-02-23,0,-3,23,2,0,-1
2020-02-24,1,-4,16,-7,-16,2
2020-02-25,6,3,2,-8,-16,2
2020-02-26,-1,-3,-10,-12,-17,2
2020-02-27,-3,-5,-15,-10,-19,3
2020-02-28,1,-4,4,-7,-21,3
2020-02-29,-2,-3,-4,1,-2,-1
2020-03-01,-8,-4,-26,-6,-4,0
2020-03-02,-1,3,6,-2,0,1
2020-03-03,-3,2,-5,-5,1,1
2020-03-04,-6,-2,-18,-6,0,2
2020-03-05,-2,3,-9,-6,0,1
2020-03-06,3,3,27,0,0,1
2020-03-07,4,3,14,3,1,1
2020-03-08,0,-1,5,-3,-1,1
2020-03-09,-3,0,11,-5,-1,1
2020-03-10,-5,2,-3,-7,-1,1
2020-03-11,-7,5,-4,-10,-3,3
2020-03-12,-16,12,-30,-20,-9,6
2020-03-13,-16,12,-3,-22,-18,9
2020-03-14,-20,8,21,-21,-7,5
2020-03-15,-28,-5,-19,-32,-12,5
2020-03-16,-23,3,-3,-31,-26,11
2020-03-17,-29,-1,-13,-40,-34,14
2020-03-18,-32,-5,-20,-45,-40,17
2020-03-19,-28,-3,20,-43,-41,16
2020-03-20,-32,-8,-18,-45,-41,17
2020-03-21,-33,-11,8,-40,-17,8
2020-03-22,-32,-13,36,-41,-19,6
2020-03-23,-33,-13,-13,-46,-41,17
2020-03-24,-32,-10,0,-46,-41,17
2020-03-25,-28,-3,2,-45,-41,16
2020-03-26,-27,-5,26,-44,-42,16
2020-03-27,-29,-7,14,-44,-41,17
2020-03-28,-32,-9,10,-42,-18,8
2020-03-29,-31,-14,24,-45,-21,7
2020-03-30,-34,-15,-25,-49,-43,17
2020-03-31,-30,-10,5,-47,-42,16
2020-04-01,-30,-7,20,-46,-42,16
2020-04-02,-33,-11,-15,-50,-43,18
2020-04-03,-33,-9,-16,-49,-44,18
2020-04-04,-32,-9,31,-42,-19,8
2020-04-05,-34,-15,12,-51,-22,8
2020-04-06,-22,-5,62,-45,-49,16
2020-04-07,-26,-5,11,-49,-49,17
2020-04-08,-19,3,54,-45,-49,15
2020-04-09,-15,12,36,-48,-55,17
2020-04-10,-46,-15,58,-60,-82,26
2020-04-11,-42,-17,44,-45,-27,7
2020-04-12,-41,-23,4,-54,-27,8
2020-04-13,-41,-19,21,-65,-84,26
2020-04-14,-29,-11,7,-48,-42,16
2020-04-15,-25,-7,52,-43,-41,15
2020-04-16,-27,-6,11,-47,-41,16
2020-04-17,-27,-5,18,-44,-42,16
2020-04-18,-30,-9,37,-38,-15,7
2020-04-19,-30,-17,52,-43,-17,6
2020-04-20,-24,-9,42,-43,-40,15
2020-04-21,-22,-8,99,-39,-38,13
2020-04-22,-23,-7,84,-40,-37,13
2020-04-23,-22,-5,76,-40,-38,14
2020-04-24,-24,-4,13,-42,-38,14
2020-04-25,-26,-6,18,-37,-15,7
2020-04-26,-22,-10,52,-40,-14,5
2020-04-27,-23,-9,12,-43,-38,14
2020-04-28,-28,-10,-21,-46,-39,13
2020-04-29,-24,-4,8,-43,-37,14
2020-04-30,-18,9,23,-42,-43,13
2020-05-01,-52,-24,-31,-66,-82,28
2020-05-02,-28,-11,65,-34,-14,5
2020-05-03,-29,-15,29,-43,-13,5
2020-05-04,-26,-9,-4,-45,-38,15
2020-05-05,-22,-4,38,-42,-36,13
2020-05-06,-22,-4,53,-40,-35,13
2020-05-07,-21,-2,44,-41,-36,13
2020-05-08,-22,-4,63,-37,-36,12
2020-05-09,-23,-5,87,-29,-8,4
2020-05-10,-27,-11,16,-44,-12,6
2020-05-11,-22,-5,25,-42,-37,14
2020-05-12,-25,-7,10,-42,-35,14
2020-05-13,-28,-7,-7,-45,-36,15
2020-05-14,-24,-5,20,-42,-35,13
2020-05-15,-24,-6,30,-39,-36,13
2020-05-16,-24,-7,42,-33,-10,5
2020-05-17,-24,-10,39,-40,-6,5
2020-05-18,-20,-6,45,-39,-36,13
2020-05-19,-19,-3,38,-39,-34,12
2020-05-20,-9,8,66,-33,-35,9
2020-05-21,-27,-3,148,-49,-78,19
2020-05-22,-23,-10,125,-41,-61,15
2020-05-23,-32,-13,-11,-43,-9,6
2020-05-24,-20,-10,77,-34,-2,1
2020-05-25,-11,1,67,-36,-36,11
2020-05-26,-9,0,138,-32,-32,9
2020-05-27,-14,-2,42,-37,-32,12
2020-05-28,-11,2,63,-36,-32,11
2020-05-29,-13,-2,90,-32,-33,10
2020-05-30,-15,-1,106,-22,8,1
2020-05-31,-8,3,139,-24,11,-1
2020-06-01,-8,2,152,-31,-33,9
2020-06-02,-10,0,118,-32,-32,9
2020-06-03,-10,0,116,-32,-32,9
2020-06-04,-11,1,74,-33,-32,10
2020-06-05,-14,-4,58,-33,-35,10
2020-06-06,-25,-7,-3,-37,-5,5
2020-06-07,-12,-3,93,-28,7,1
2020-06-08,-8,3,87,-33,-34,10
2020-06-09,-4,2,135,-30,-33,9
2020-06-10,-6,2,143,-30,-34,9
2020-06-11,-5,4,126,-31,-36,9
2020-06-12,-11,-3,139,-30,-38,8
