2020-02-15,8,5,0,8,4,0
2020-02-16,4,4,-11,7,0,1
2020-02-17,-2,-2,-5,15,31,-3
2020-02-18,-1,2,1,8,15,-1
2020-02-19,1,2,0,11,14,-2
2020-02-20,1,0,-3,11,18,-2
2020-02-21,4,0,-5,10,17,-2
2020-02-22,7,4,-12,1,4,2
2020-02-23,5,3,-10,2,1,1
2020-02-24,-1,-1,-1,18,32,-3
2020-02-25,-1,1,7,10,15,-1
2020-02-26,0,5,2,12,16,-2
2020-02-27,0,1,-6,12,19,-2
2020-02-28,4,4,-4,13,19,-2
2020-02-29,6,13,-2,3,5,0
2020-03-01,1,4,-1,8,1,1
2020-03-02,-4,-1,-10,16,34,-2
2020-03-03,-4,0,-6,8,17,-1
2020-03-04,-2,0,-17,9,16,-1
2020-03-05,0,1,-15,10,20,-1
2020-03-06,4,2,-9,9,19,-1
2020-03-07,7,4,2,3,6,1
2020-03-08,3,4,-6,5,1,1
2020-03-09,-6,-4,-18,12,30,-2
2020-03-10,-4,-2,-11,6,16,0
2020-03-11,-3,-2,-14,7,16,-1
2020-03-12,-2,-1,-15,7,19,-1
2020-03-13,2,0,-12,6,18,-1
2020-03-14,4,3,0,-2,6,1
2020-03-15,-1,6,-8,-2,1,1
2020-03-16,-7,5,-19,3,30,-1
2020-03-17,-9,10,-22,-9,13,1
2020-03-18,-8,13,-22,-10,10,2
2020-03-19,-10,22,-34,-14,12,3
2020-03-20,-13,12,-37,-20,9,5
2020-03-21,-17,6,-38,-32,0,8
2020-03-22,-25,-4,-36,-36,-8,8
2020-03-23,-12,29,-50,-34,6,6
2020-03-24,-19,12,-52,-51,-32,16
2020-03-25,-38,4,-52,-61,-49,20
2020-03-26,-92,-58,-77,-84,-74,35
2020-03-27,-91,-48,-80,-84,-74,38
2020-03-28,-92,-53,-80,-84,-63,26
2020-03-29,-91,-54,-78,-84,-59,22
2020-03-30,-88,-44,-73,-85,-71,30
2020-03-31,-87,-38,-66,-85,-75,33
2020-04-01,-87,-38,-66,-85,-74,34
2020-04-02,-88,-37,-69,-85,-74,34
2020-04-03,-89,-37,-72,-86,-73,37
2020-04-04,-91,-46,-75,-84,-60,25
2020-04-05,-90,-48,-74,-84,-57,21
2020-04-06,-88,-39,-71,-85,-70,30
2020-04-07,-88,-35,-67,-85,-74,33
2020-04-08,-87,-31,-74,-85,-74,33
2020-04-09,-86,-18,-77,-85,-73,33
2020-04-10,-95,-91,-68,-89,-88,42
2020-04-11,-88,-33,-75,-82,-58,24
2020-04-12,-92,-59,-77,-85,-59,22
2020-04-13,-91,-45,-76,-89,-85,34
2020-04-14,-89,-37,-77,-87,-74,34
2020-04-15,-88,-36,-76,-86,-73,34
2020-04-16,-89,-35,-75,-86,-72,34
2020-04-17,-90,-37,-81,-87,-72,37
2020-04-18,-91,-45,-77,-84,-57,25
2020-04-19,-91,-50,-77,-85,-55,21
2020-04-20,-89,-42,-71,-85,-68,29
2020-04-21,-87,-36,-66,-85,-71,33
2020-04-22,-87,-35,-64,-84,-70,33
2020-04-23,-88,-35,-74,-85,-68,33
2020-04-24,-88,-31,-68,-84,-66,35
2020-04-25,-89,-53,-69,-81,-56,24
2020-04-26,-88,-37,-69,-82,-49,20
2020-04-27,-89,-41,-63,-87,-81,32
2020-04-28,-68,-28,-48,-73,-47,22
2020-04-29,-70,-30,-51,-72,-48,14
2020-04-30,-81,-25,-53,-69,-46,24
2020-05-01,-80,-23,-51,-69,-44,25
2020-05-02,-83,-29,-56,-65,-34,18
2020-05-03,-87,-38,-72,-76,-39,18
2020-05-04,-80,-30,-59,-70,-37,20
2020-05-05,-81,-29,-64,-72,-46,24
2020-05-06,-79,-23,-48,-68,-44,23
2020-05-07,-72,-25,-55,-70,-42,23
2020-05-08,-70,-21,-51,-70,-40,24
2020-05-09,-71,-20,-41,-64,-27,16
2020-05-10,-72,-25,-44,-68,-30,14
2020-05-11,-72,-33,-54,-70,-33,19
2020-05-12,-70,-25,-52,-70,-40,22
2020-05-13,-70,-25,-53,-68,-39,21
2020-05-14,-35,-9,-45,-50,-28,15
2020-05-15,-35,-8,-42,-48,-28,16
2020-05-16,-31,-8,-35,-32,-12,8
2020-05-17,-34,-10,-33,-38,-17,8
2020-05-18,-33,-10,-39,-39,-2,8
2020-05-19,-36,-10,-37,-42,-14,11
2020-05-20,-29,-13,-38,-47,-14,11
2020-05-21,-28,-12,-42,-47,-10,11
2020-05-22,-24,-8,-39,-45,-9,11
2020-05-23,-18,-9,-33,-38,-7,7
2020-05-24,-25,-15,-53,-52,-16,8
2020-05-25,-29,-16,-57,-48,-1,9
2020-05-26,-27,-12,-41,-46,-9,10
2020-05-27,-26,-12,-45,-44,-9,10
2020-05-28,-24,-9,-40,-40,-5,9
2020-05-29,-20,-5,-45,-40,-9,9
2020-05-30,-12,-4,-26,-31,-5,5
2020-05-31,-15,-13,-31,-41,-11,5
2020-06-01,-18,-9,-34,-56,-72,17
2020-06-02,-29,-11,-36,-41,-8,8
2020-06-03,-27,-12,-40,-39,-6,9
2020-06-04,-27,-10,-51,-41,-2,9
2020-06-05,-16,-9,-51,-43,-2,9
2020-06-06,-8,-8,-41,-41,-2,7
2020-06-07,-12,-10,-38,-46,-8,7
2020-06-08,-21,-14,-40,-41,9,6
2020-06-09,-19,-11,-35,-41,-3,7
2020-06-10,-17,-12,-35,-38,-3,7
2020-06-11,-14,-10,-40,-38,1,7
2020-06-12,-9,-7,-45,-36,0,7
2020-06-13,-1,-4,-30,-33,1,5
2020-06-14,-6,-8,-33,-33,-4,5
2020-06-15,-18,-12,-39,-34,11,4
2020-06-16,-17,-10,-35,-36,-2,6
2020-06-17,-15,-10,-36,-33,-2,6
2020-06-18,-18,-14,-56,-38,-1,8
2020-06-19,-8,-7,-46,-34,-1,7
2020-06-20,1,-5,-30,-35,-1,5
2020-06-21,-8,-8,-49,-42,-6,6
2020-06-22,-16,-12,-36,-32,9,4
2020-06-23,-15,-8,-33,-34,-4,6
2020-06-24,-14,-10,-42,-32,-3,6
2020-06-25,-13,-7,-48,-36,0,7
2020-06-26,-7,-7,-47,-33,-1,7
2020-06-27,-2,-6,-40,-34,-4,6
2020-06-28,-6,-8,-47,-43,-7,6
2020-06-29,-17,-13,-50,-33,11,5
2020-06-30,-13,-10,-41,-33,-1,6
2020-07-01,-13,-11,-43,-33,-2,6
2020-07-02,-11,-9,-44,-32,1,6
2020-07-03,-4,-6,-37,-29,0,6
2020-07-04,1,-5,-25,-27,-4,4
2020-07-05,-4,-8,-43,-38,-10,5
2020-07-06,-9,-10,-43,-33,-4,6
2020-07-07,-7,-5,-35,-33,-15,7
2020-07-08,-9,-10,-45,-36,-15,8
2020-07-09,-4,-6,-35,-31,-12,7
2020-07-10,-1,-4,-27,-30,-14,7
2020-07-11,2,-4,-22,-29,-5,4
2020-07-12,-2,-7,-34,-32,-10,4
2020-07-13,-5,-6,-29,-29,-5,5
2020-07-14,-7,-8,-25,-31,-15,6
2020-07-15,-6,-9,-42,-31,-14,7
2020-07-16,-5,-7,-44,-32,-12,7
2020-07-17,0,-4,-38,-31,-13,7
2020-07-18,3,-4,-29,-26,-5,4
2020-07-19,-1,-3,-33,-32,-8,4
2020-07-20,-12,-10,-40,-26,12,3
2020-07-21,-13,-8,-40,-29,-1,5
2020-07-22,-11,-9,-44,-28,0,5
2020-07-23,-8,-7,-42,-26,4,4
2020-07-24,-3,-5,-39,-26,3,4
2020-07-25,6,-1,-13,-26,-3,3
2020-07-26,0,-4,-28,-30,-8,3
2020-07-27,-12,-9,-32,-22,13,2
2020-07-28,-12,-7,-32,-26,1,4
2020-07-29,-9,-6,-34,-24,1,4
2020-07-30,-5,-6,-19,-22,4,3
2020-07-31,0,-4,-25,-24,2,4
2020-08-01,7,-1,1,-25,-5,4
2020-08-02,-1,-5,-25,-34,-9,4
2020-08-03,-10,-10,-17,-22,14,2
2020-08-04,-7,-6,-4,-23,0,3
2020-08-05,-5,-6,-8,-21,1,3
2020-08-06,-5,-7,-20,-21,4,3
2020-08-07,-2,-5,-26,-22,2,4
2020-08-08,7,-1,3,-21,-5,3
2020-08-09,0,-5,-16,-30,-10,3
2020-08-10,-9,-10,-15,-20,13,2
2020-08-11,-11,-9,-23,-25,-1,4
2020-08-12,-18,5,-30,-43,-15,10
2020-08-13,-30,-11,-29,-51,-20,13
2020-08-14,-25,-7,-38,-53,-20,14
2020-08-15,-26,-14,-14,-48,-17,11
2020-08-16,-30,-21,-18,-54,-23,10
2020-08-17,-31,-19,-25,-49,-11,10
2020-08-18,-29,-14,-28,-52,-20,12
2020-08-19,-30,-15,-40,-54,-20,14
2020-08-20,-28,-13,-31,-51,-17,12
2020-08-21,-24,-11,-35,-52,-18,14
2020-08-22,-20,-10,-4,-47,-15,9
2020-08-23,-27,-16,-31,-57,-22,10
2020-08-24,-29,-16,-30,-50,-8,10
2020-08-25,-27,-12,-28,-52,-18,12
2020-08-26,-24,-10,-18,-48,-17,11
2020-08-27,-25,-11,-29,-50,-14,12
2020-08-28,-19,-6,-16,-47,-15,11
2020-08-29,-18,-7,5,-47,-14,8
2020-08-30,-24,-11,-4,-51,-19,8
