2020-02-15,3,2,8,-3,1,0
2020-02-16,5,4,32,0,1,-1
2020-02-17,1,-2,7,-1,-16,5
2020-02-18,-3,-4,-3,-2,0,1
2020-02-19,4,1,24,0,3,-1
2020-02-20,2,0,3,1,1,0
2020-02-21,5,0,19,2,2,-1
2020-02-22,3,2,18,2,3,0
2020-02-23,0,-1,-32,1,1,1
2020-02-24,3,0,-9,-1,1,1
2020-02-25,7,1,15,3,2,0
2020-02-26,16,5,8,5,3,-2
2020-02-27,16,7,28,6,3,-2
2020-02-28,18,9,48,6,3,-3
2020-02-29,17,11,70,8,4,-3
2020-03-01,18,12,21,11,3,-2
2020-03-02,14,7,26,3,3,-1
2020-03-03,22,15,58,4,3,-2
2020-03-04,15,9,36,3,4,-2
2020-03-05,17,12,80,6,3,-2
2020-03-06,13,8,73,6,3,-2
2020-03-07,12,10,80,10,4,-2
2020-03-08,16,13,78,12,3,-2
2020-03-09,6,4,-5,2,1,2
2020-03-10,13,11,84,6,3,-1
2020-03-11,12,14,61,2,4,-1
2020-03-12,14,33,69,4,2,-1
2020-03-13,5,25,15,2,-2,2
2020-03-14,-7,11,-21,-1,0,4
2020-03-15,-5,14,-4,1,-4,3
2020-03-16,-6,13,-20,-6,-16,7
2020-03-17,-10,10,25,-6,-19,8
2020-03-18,-12,8,50,-9,-22,8
2020-03-19,-18,10,17,-10,-24,10
2020-03-20,-23,12,30,-13,-26,11
2020-03-21,-33,2,23,-12,-14,8
2020-03-22,-41,-11,-26,-22,-26,9
2020-03-23,-29,-7,17,-18,-32,13
2020-03-24,-30,-9,52,-17,-35,14
2020-03-25,-25,-5,108,-18,-35,12
2020-03-26,-24,-4,133,-18,-36,12
2020-03-27,-28,-7,88,-22,-36,13
2020-03-28,-39,-14,-1,-26,-23,10
2020-03-29,-29,-7,81,-22,-27,7
2020-03-30,-31,-11,-19,-25,-34,14
2020-03-31,-26,-6,36,-21,-35,13
2020-04-01,-19,2,75,-18,-35,11
2020-04-02,-24,2,59,-21,-36,13
2020-04-03,-28,3,6,-27,-36,15
2020-04-04,-42,-4,-32,-31,-25,12
2020-04-05,-36,-3,25,-33,-29,8
2020-04-06,-29,-6,15,-25,-36,13
2020-04-07,-30,-6,46,-24,-37,14
2020-04-08,-25,-2,81,-24,-37,12
2020-04-09,-25,0,58,-25,-38,13
2020-04-10,-25,2,62,-30,-43,15
2020-04-11,-35,1,1,-34,-26,10
2020-04-12,-53,-29,-27,-39,-36,10
2020-04-13,-26,-8,-9,-22,-39,12
2020-04-14,-25,-7,11,-21,-38,13
2020-04-15,-10,4,56,-18,-35,11
2020-04-16,-15,3,66,-19,-36,11
2020-04-17,-23,-5,23,-25,-36,14
2020-04-18,-25,-1,36,-20,-19,7
2020-04-19,-31,-12,-26,-34,-29,9
2020-04-20,-16,-2,35,-20,-34,12
2020-04-21,-15,1,85,-16,-35,11
2020-04-22,-25,-8,-11,-23,-36,15
2020-04-23,-18,3,46,-20,-35,12
2020-04-24,-20,0,34,-22,-35,13
2020-04-25,-23,3,27,-20,-20,7
2020-04-26,-18,4,78,-22,-25,5
